tp,fp,tn,fn,precision,recall,f1_score,specificity,fpr,accuracy,fp_cost,fn_cost,tp_cost,total_cost,fraud_prevented,net_benefit,roi,threshold,weighted_score
1489,11130,87370,11,0.11799667168555353,0.9926666666666667,0.2109214533607196,0.887005076142132,0.11299492385786802,0.88859,33390,3329.2453150442125,4467,41186.245315044216,273194.820561459,232008.57524641478,7.216494190280767,0.3,0.5515257411268261
1469,6071,92429,31,0.19482758620689655,0.9793333333333333,0.32499999999999996,0.9383654822335026,0.06163451776649746,0.93898,18213,5366.286603962459,4407,27986.286603962457,271157.77927254076,243171.4926685783,11.987523398432394,0.35,0.6245834686833799
1440,3031,95469,60,0.3220755983001566,0.96,0.48233126779433927,0.9692284263959391,0.030771573604060912,0.96909,9093,9535.417698719073,4320,22948.417698719073,266988.64817778417,244040.2304790651,19.90521495398376,0.39999999999999997,0.7146030416310402
1383,1417,97083,117,0.49392857142857144,0.922,0.6432558139534884,0.9856142131979695,0.014385786802030457,0.98466,4251,17931.183763801208,4149,26331.183763801208,258592.88211270198,232261.69834890077,30.784866918178807,0.44999999999999996,0.7987824587326534
1383,1417,97083,117,0.49392857142857144,0.922,0.6432558139534884,0.9856142131979695,0.014385786802030457,0.98466,4251,17931.183763801208,4149,26331.183763801208,258592.88211270198,232261.69834890077,30.784866918178807,0.45,0.7987824587326534
1372,1195,97305,128,0.5344760420724581,0.9146666666666666,0.6746987951807228,0.9878680203045686,0.012131979695431472,0.98677,3585,22708.078423964398,4116,30409.078423964398,253815.98745253877,223406.90902857436,32.95883488540953,0.46,0.8093163716509323
1359,1024,97476,141,0.5702895509861519,0.906,0.6999742467164564,0.9896040609137056,0.010395939086294416,0.98835,3072,23834.999479846156,4077,30983.999479846156,252689.06639665703,221705.06691681087,35.34607167389244,0.47000000000000003,0.8241450224697762
1345,864,97636,155,0.6088727931190584,0.8966666666666666,0.7252628740900512,0.9912284263959391,0.008771573604060914,0.98981,2592,27045.884627003645,4035,33672.884627003645,249478.18124949955,215805.29662249592,37.64571921676468,0.48000000000000004,0.8346803295105594
1323,732,97768,177,0.6437956204379562,0.882,0.7443037974683545,0.9925685279187817,0.007431472081218274,0.99091,2196,30873.115798006154,3969,37038.115798006154,245650.95007849703,208612.83428049088,39.84605840689327,0.49000000000000005,0.8396150532310676
1307,612,97888,193,0.6810838978634706,0.8713333333333333,0.7645510383152969,0.9937868020304569,0.006213197969543147,0.99195,1836,32589.522084395103,3921,38346.5220843951,243934.5437921081,205588.021707713,42.37181584021332,0.49999999999999994,0.850911529959193
1307,612,97888,193,0.6810838978634706,0.8713333333333333,0.7645510383152969,0.9937868020304569,0.006213197969543147,0.99195,1836,32589.522084395103,3921,38346.5220843951,243934.5437921081,205588.021707713,42.37181584021332,0.5,0.850911529959193
1292,504,97996,208,0.7193763919821826,0.8613333333333333,0.7839805825242719,0.9948832487309645,0.005116751269035533,0.99288,1512,34908.01166243052,3876,40296.01166243052,241616.05421407268,201320.04255164217,44.84336566705135,0.51,0.8607317932437762
1273,413,98087,227,0.7550415183867141,0.8486666666666667,0.7991211550533585,0.9958071065989847,0.0041928934010152285,0.9936,1239,37799.936746153864,3819,42857.936746153864,238724.1291303493,195866.19238419543,47.1973367201165,0.52,0.8665095959431683
1247,344,98156,253,0.7837837837837838,0.8313333333333334,0.8068586218052411,0.996507614213198,0.0034923857868020304,0.99403,1032,41797.786333821976,3741,46570.786333821976,234726.2795426812,188155.49320885923,49.17793411746935,0.53,0.8645624131217149
1220,276,98224,280,0.8155080213903744,0.8133333333333334,0.8144192256341789,0.9971979695431472,0.0028020304568527918,0.99444,828,45562.750598045124,3660,50050.750598045124,230961.31527845806,180910.56468041294,51.461968644932725,0.54,0.8636794235781928
1190,224,98276,310,0.8415841584158416,0.7933333333333333,0.8167467398764584,0.9977258883248731,0.0022741116751269037,0.99466,672,49151.01023611613,3570,53393.01023611613,227373.05564038706,173980.04540427093,53.600437444692844,0.5499999999999999,0.8596714845459316
1190,224,98276,310,0.8415841584158416,0.7933333333333333,0.8167467398764584,0.9977258883248731,0.0022741116751269037,0.99466,672,49151.01023611613,3570,53393.01023611613,227373.05564038706,173980.04540427093,53.600437444692844,0.55,0.8596714845459316
1164,179,98321,336,0.8667163067758749,0.776,0.8188533239535701,0.9981827411167513,0.0018172588832487309,0.99485,537,54302.96686756401,3492,58331.96686756401,222221.09900893917,163889.13214137516,55.155398115894556,0.56,0.8518189701764922
1053,65,98435,447,0.9418604651162791,0.702,0.8044308632543926,0.9993401015228427,0.0006598984771573604,0.99488,195,77531.014613929,3159,80885.014613929,198993.0512625742,118108.03664864521,59.33006895127436,0.5999999999999999,0.7982485601633978
859,21,98479,641,0.9761363636363637,0.5726666666666667,0.7218487394957984,0.9997868020304569,0.0002131979695431472,0.99338,63,115171.63694184841,2577,117811.63694184841,161352.42893465477,43540.791992806364,61.118344293429836,0.6499999999999999,0.666884543103924
651,5,98495,849,0.9923780487804879,0.434,0.6038961038961039,0.9999492385786802,5.076142131979695e-05,0.99146,15,157581.37930484262,1953,159549.37930484262,118942.68657166055,-40606.69273318206,60.438356997795,0.7,0.5028517871359244
